"","cnt","t1","t2","hum","wind_speed","is_holiday","is_weekend","is_cloudy","is_raining","is_snowing","is_spring","is_summer","is_fall","is_winter","is_night","hour"
"1","low",0.126760563380282,0.2,0.911949685534591,0.106194690265487,0,1,1,0,0,0,0,0,1,1,0
"2","low",0.126760563380282,0.2125,0.911949685534591,0.0884955752212389,0,1,0,0,0,0,0,0,1,1,0.0434782608695652
"3","low",0.112676056338028,0.2125,0.955974842767296,0,0,1,0,0,0,0,0,0,1,1,0.0869565217391304
"4","low",0.0985915492957746,0.2,1,0,0,1,0,0,0,0,0,0,1,1,0.130434782608696
"5","low",0.0985915492957746,0.15,0.911949685534591,0.115044247787611,0,1,0,0,0,0,0,0,1,1,0.173913043478261
"6","low",0.0985915492957746,0.2,0.911949685534591,0.0707964601769911,0,1,0,0,0,0,0,0,1,0,0.217391304347826
"7","low",0.0704225352112676,0.125,1,0.123893805309735,0,1,1,0,0,0,0,0,1,0,0.260869565217391
"8","low",0.0704225352112676,0.125,1,0.123893805309735,0,1,1,0,0,0,0,0,1,0,0.304347826086957
"9","low",0.0845070422535211,0.125,0.955974842767296,0.141592920353982,0,1,1,0,0,0,0,0,1,0,0.347826086956522
"10","normal",0.0985915492957746,0.1375,1,0.15929203539823,0,1,1,0,0,0,0,0,1,0,0.391304347826087
"11","normal",0.126760563380282,0.1375,0.911949685534591,0.212389380530973,0,1,1,0,0,0,0,0,1,0,0.434782608695652
"12","normal",0.0985915492957746,0.1125,1,0.212389380530973,0,1,1,0,0,0,0,0,1,0,0.478260869565217
"13","normal",0.0985915492957746,0.1125,0.955974842767296,0.230088495575221,0,1,1,0,0,0,0,0,1,0,0.521739130434783
"14","normal",0.126760563380282,0.1375,0.836477987421384,0.265486725663717,0,1,1,0,0,0,0,0,1,0,0.565217391304348
"15","normal",0.112676056338028,0.15,0.874213836477987,0.141592920353982,0,1,1,0,0,0,0,0,1,0,0.608695652173913
"16","normal",0.0985915492957746,0.1125,0.911949685534591,0.194690265486726,0,1,1,0,0,0,0,0,1,0,0.652173913043478
"17","normal",0.126760563380282,0.15,0.911949685534591,0.212389380530973,0,1,1,0,0,0,0,0,1,0,0.695652173913043
"18","normal",0.126760563380282,0.15,0.911949685534591,0.194690265486726,0,1,1,0,0,0,0,0,1,0,0.739130434782609
"19","normal",0.126760563380282,0.1875,0.911949685534591,0.115044247787611,0,1,1,0,0,0,0,0,1,1,0.782608695652174
"20","normal",0.126760563380282,0.175,0.911949685534591,0.123893805309735,0,1,1,0,0,0,0,0,1,1,0.826086956521739
"21","normal",0.126760563380282,0.225,0.911949685534591,0.0707964601769911,0,1,1,0,0,0,0,0,1,1,0.869565217391304
"22","low",0.126760563380282,0.2125,0.911949685534591,0.0884955752212389,0,1,1,0,0,0,0,0,1,1,0.91304347826087
"23","low",0.126760563380282,0.2,0.911949685534591,0.106194690265487,0,1,1,0,0,0,0,0,1,1,0.956521739130435
"24","low",0.154929577464789,0.2375,0.836477987421384,0.0884955752212389,0,1,1,0,0,0,0,0,1,1,1
"25","low",0.154929577464789,0.225,0.911949685534591,0.106194690265487,0,0,1,0,0,0,0,0,1,1,0
"26","low",0.154929577464789,0.2375,0.911949685534591,0.0884955752212389,0,0,1,0,0,0,0,0,1,1,0.0434782608695652
"27","low",0.183098591549296,0.25,0.836477987421384,0.106194690265487,0,0,1,0,0,0,0,0,1,1,0.0869565217391304
"28","low",0.211267605633803,0.2625,0.79874213836478,0.132743362831858,0,0,1,0,0,0,0,0,1,1,0.130434782608696
"29","low",0.225352112676056,0.275,0.79874213836478,0.141592920353982,0,0,1,0,0,0,0,0,1,1,0.173913043478261
"30","low",0.211267605633803,0.2875,0.836477987421384,0.0884955752212389,0,0,1,0,0,0,0,0,1,0,0.217391304347826
"31","normal",0.23943661971831,0.3125,0.761006289308176,0.0884955752212389,0,0,1,0,0,0,0,0,1,0,0.260869565217391
"32","normal",0.23943661971831,0.3,0.761006289308176,0.115044247787611,0,0,1,0,0,0,0,0,1,0,0.304347826086957
"33","high",0.267605633802817,0.3375,0.735849056603774,0.0884955752212389,0,0,1,0,0,0,0,0,1,0,0.347826086956522
"34","normal",0.267605633802817,0.325,0.773584905660377,0.106194690265487,0,0,1,0,0,0,0,0,1,0,0.391304347826087
"35","normal",0.295774647887324,0.35,0.805031446540881,0.115044247787611,0,0,1,0,0,0,0,0,1,0,0.434782608695652
"36","normal",0.295774647887324,0.3375,0.880503144654088,0.176991150442478,0,0,1,0,0,0,0,0,1,0,0.478260869565217
"37","normal",0.323943661971831,0.35,0.811320754716981,0.194690265486726,0,0,1,0,0,0,0,0,1,0,0.521739130434783
"38","normal",0.323943661971831,0.3625,0.773584905660377,0.176991150442478,0,0,1,0,0,0,0,0,1,0,0.565217391304348
"39","normal",0.323943661971831,0.375,0.773584905660377,0.15929203539823,0,0,1,0,0,0,0,0,1,0,0.608695652173913
"40","normal",0.323943661971831,0.3625,0.735849056603774,0.176991150442478,0,0,1,0,0,0,0,0,1,0,0.652173913043478
"41","normal",0.323943661971831,0.3625,0.666666666666667,0.230088495575221,0,0,1,0,0,0,0,0,1,0,0.695652173913043
"42","high",0.309859154929577,0.3375,0.666666666666667,0.212389380530973,0,0,1,0,0,0,0,0,1,0,0.739130434782609
"43","high",0.309859154929577,0.3375,0.610062893081761,0.247787610619469,0,0,1,0,0,0,0,0,1,1,0.782608695652174
"44","normal",0.295774647887324,0.3125,0.635220125786163,0.247787610619469,0,0,1,0,0,0,0,0,1,1,0.826086956521739
"45","normal",0.295774647887324,0.325,0.635220125786163,0.247787610619469,0,0,1,0,0,0,0,0,1,1,0.869565217391304
"46","normal",0.295774647887324,0.325,0.635220125786163,0.194690265486726,0,0,1,0,0,0,0,0,1,1,0.91304347826087
"47","normal",0.295774647887324,0.3375,0.635220125786163,0.176991150442478,0,0,1,0,0,0,0,0,1,1,0.956521739130435
